Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801509,SHOPPING ESTACAO CUIABA,A19300028,VISEIRA LIGHT,CORAL V20,UNICO,2,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19370039,PORTA SMARTPHONE SLIM,PRETO,U,8,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430019,MEIA LUVA BIKE,PRETO,M,1,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430021,MANGUITO SEAMLESS,PRETO,P/M,7,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430021,MANGUITO SEAMLESS,PRETO,G/GG,8,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430021,MANGUITO SEAMLESS,NEON LIMA,P/M,7,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19430021,MANGUITO SEAMLESS,NEON LIMA,G/GG,7,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570017,CHINELO BEACH FEM T&F,MADEIRA/OFF WHITE,35/36,2,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570020,CHINELO M SURF T&F,BRANCO,37/38,4,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570020,CHINELO M SURF T&F,BRANCO,39/40,3,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570020,CHINELO M SURF T&F,BRANCO,41/42,1,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570020,CHINELO M SURF T&F,PRETO,37/38,1,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570020,CHINELO M SURF T&F,SELVA V19,37/38,1,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19570020,CHINELO M SURF T&F,MARINHO,37/38,2,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A19790005,TOUCA NATACAO SILICONE,NEON LIMA,UNICO,4,A19,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20190022,BONE MESH BS,PRETO,UNICO,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20200020,MOCHILA REFLEX URBAN,PRETO,UNICO,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20210012,GARRAFA GLASS,GRANITO,UNICO,4,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20210027,GARRAFA STEEL,GRANITO,UNICO,4,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20210027,GARRAFA STEEL,ROSA CLARO V20,UNICO,6,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20210028,GARRAFA NATURE KIDS,FERVEDOURO I20,UNICO,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20210028,GARRAFA NATURE KIDS,ARENITO I20,UNICO,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20210029,GARRAFA BUBBLE GLASS,AZUL NOTURNO,UNICO,6,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20210030,GARRAFA STEEL MASSIVE,GRANITO STEEL,UNICO,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20220015,MALA DUFFEL MATELASSE,PRETO,UNICO,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20230081,MEIA REDTECH,PRETO,33/36,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20230081,MEIA REDTECH,PRETO,37/40,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20230102,MEIA COMFY,MESCLA ESCURO,33/36,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20230102,MEIA COMFY,MESCLA ESCURO,37/40,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20230102,MEIA COMFY,MESCLA ESCURO,41/44,4,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20230103,MEIA GYM,PRETO,33/36,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20230103,MEIA GYM,PRETO,37/40,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20230103,MEIA GYM,PRETO,41/44,5,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20260004,TAPETE YOGA ECO,CINZA,UNICO,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20260004,TAPETE YOGA ECO,AZUL,UNICO,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,35,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270042,TENIS ESSENTIAL F T&F,OFF WHITE V17,36,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270042,TENIS ESSENTIAL F T&F,CRISTAL I19,37,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270042,TENIS ESSENTIAL F T&F,BURITI I20,34,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270042,TENIS ESSENTIAL F T&F,BURITI I20,35,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270042,TENIS ESSENTIAL F T&F,BURITI I20,37,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270042,TENIS ESSENTIAL F T&F,BURITI I20,38,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270113,TENIS ON CLOUD F,BLACK/WHITE,35,2,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270113,TENIS ON CLOUD F,BLACK/WHITE,37,1,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270113,TENIS ON CLOUD F,WHITE/SAND,35,1,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270113,TENIS ON CLOUD F,WHITE/SAND,37,1,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270113,TENIS ON CLOUD F,WHITE/SAND,38,1,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270113,TENIS ON CLOUD F,WHITE/SAND,39,1,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270114,TENIS ON CLOUD M,BLACK/WHITE 19.000,40,3,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270114,TENIS ON CLOUD M,BLACK/WHITE 19.000,41,1,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270114,TENIS ON CLOUD M,BLACK/WHITE 19.000,42,2,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270114,TENIS ON CLOUD M,BLACK/WHITE 19.000,43,1,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270116,TENIS ON CLOUD X M,BLACK/ASPHALT 204005,39,1,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20270122,TENIS EFFUSION F T&F,PRETO,34,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270122,TENIS EFFUSION F T&F,PRETO,35,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270122,TENIS EFFUSION F T&F,PRETO,36,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270122,TENIS EFFUSION F T&F,PRETO,37,2,A20,CONVENIENCIA
